Timestamp,Wing,Issues,R,D,L,G,President,Senator,Ballot,District_13,District_26,Texas_Senate30,Texas_House64,Adithi,Srinjoy,Hunter,Tracy,Archith
10/28/24 16:02,B200,"Education, The Economy, The Environment and Climate Change",2nd,3rd,4th,1st,"Donald J Trump for President, JD Vance for Vice President (R)",Ted Cruz (R) (Incumbent),Yes,Ronny L. Jackson (R) (Incumbent),Phil Gray (L),Brent Hagenbuch (R),Andy Hopper (R),1st,3rd,2nd,,4th
10/28/24 16:02,D200A,"Healthcare, Crime and Public Safety, Abortion",2nd,1st,3rd,4th,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),Yes,Ronny L. Jackson (R) (Incumbent),Ernest Lineberger III (D),Dale Frey (D),Angela Brewer (D),4th,3rd,,2nd,1st
10/28/24 16:03,D200A,"Healthcare, Education, Abortion",2nd,1st,3rd,4th,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),No,,,,,2nd,4th,,3rd,1st
10/28/24 16:03,C200A,"Immigration, Abortion, The Economy",3rd,2nd,1st,4th,"Kamala D Harris for President, Tim Walz for Vice President (D)",Ted Brown (L),Yes,Ronny L. Jackson (R) (Incumbent),Ernest Lineberger III (D),Brent Hagenbuch (R),Angela Brewer (D),1st,4th,3rd,2nd,5th
10/28/24 16:04,C300A,"The Economy, Taxes, Guns",3rd,4th,2nd,1st,"Donald J Trump for President, JD Vance for Vice President (R)",Ted Brown (L),Yes,Ronny L. Jackson (R) (Incumbent),Brandon Gill (R),Dale Frey (D),Angela Brewer (D),1st,2nd,4th,5th,3rd
10/28/24 16:04,C300A,"Advancing the Human Rights of LGBTQI+ Persons, Abortion, Guns",4th,2nd,3rd,1st,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),Yes,,Ernest Lineberger III (D),Dale Frey (D),Angela Brewer (D),5th,3rd,1st,4th,2nd
10/28/24 16:04,D300B,"Healthcare, The Environment and Climate Change, Taxes",2nd,1st,4th,3rd,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),No,,,,,3rd,1st,2nd,5th,4th
10/28/24 16:04,C200A,"The Economy, Healthcare, Foreign Policy",2nd,1st,4th,3rd,"Kamala D Harris for President, Tim Walz for Vice President (D)",Ted Brown (L),No,,,,,,,,,
10/28/24 16:05,B200,"Education, Immigration, Healthcare",1st,4th,2nd,3rd,"Donald J Trump for President, JD Vance for Vice President (R)",Colin Allred (D),No,,,,,3rd,2nd,4th,1st,5th
10/28/24 16:05,A100,"Guns, Healthcare, Education",2nd,1st,3rd,4th,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),No,,,,,5th,4th,2nd,3rd,1st
10/28/24 16:06,D300B,"Crime and Public Safety, The Economy, Abortion",1st,2nd,3rd,4th,"Donald J Trump for President, JD Vance for Vice President (R)",Ted Cruz (R) (Incumbent),Yes,Ronny L. Jackson (R) (Incumbent),Brandon Gill (R),Brent Hagenbuch (R),Andy Hopper (R),5th,2nd,3rd,4th,1st
10/28/24 16:06,D100B,"Guns, Advancing the Human Rights of LGBTQI+ Persons, Education",4th,1st,3rd,2nd,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),No,,,,,4th,2nd,3rd,5th,1st
10/28/24 16:07,B200,"Abortion, Education, Guns",4th,1st,3rd,2nd,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),Yes,Ronny L. Jackson (R) (Incumbent),Ernest Lineberger III (D),Dale Frey (D),Angela Brewer (D),1st,2nd,,3rd,4th
10/28/24 16:12,D200B,"Education, Abortion, Crime and Public Safety",4th,2nd,3rd,1st,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),Yes,Ronny L. Jackson (R) (Incumbent),Ernest Lineberger III (D),Dale Frey (D),Angela Brewer (D),1st,4th,5th,3rd,2nd
10/28/24 16:13,A100,"Education, The Environment and Climate Change, Abortion",4th,2nd,1st,3rd,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),Yes,Ronny L. Jackson (R) (Incumbent),Ernest Lineberger III (D),Dale Frey (D),Angela Brewer (D),3rd,4th,5th,2nd,1st
10/28/24 16:17,D300A,"Education, The Environment and Climate Change, Foreign Policy",4th,3rd,1st,2nd,"Jill Stein for President, Rudolph ""Butch"" Ware for Vice President (G)",Colin Allred (D),Yes,,Phil Gray (L),Dale Frey (D),Angela Brewer (D),1st,2nd,5th,3rd,4th
10/28/24 16:28,D300A,"Foreign Policy, Education, The Environment and Climate Change",4th,3rd,2nd,1st,"Jill Stein for President, Rudolph ""Butch"" Ware for Vice President (G)",Ted Brown (L),No,,,,,,2nd,4th,1st,3rd
10/28/24 16:29,C200B,"Abortion, The Environment and Climate Change, Healthcare",4th,1st,2nd,3rd,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),No,,,,,1st,4th,5th,2nd,3rd
10/28/24 16:37,B300,"Taxes, Foreign Policy, The Economy",1st,2nd,3rd,4th,"Kamala D Harris for President, Tim Walz for Vice President (D)",Ted Cruz (R) (Incumbent),No,,,,,1st,3rd,4th,2nd,5th
10/28/24 16:50,B200,"Guns, Foreign Policy, Abortion",4th,1st,3rd,2nd,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),No,,,,,3rd,2nd,,1st,4th
10/28/24 17:09,B300,"Crime and Public Safety, Education, The Economy",1st,3rd,2nd,4th,"Donald J Trump for President, JD Vance for Vice President (R)",Ted Brown (L),No,,,,,,,1st,,
10/28/24 17:14,B300,"Guns, Taxes, The Economy",4th,2nd,1st,3rd,"Kamala D Harris for President, Tim Walz for Vice President (D)",Colin Allred (D),Yes,Ronny L. Jackson (R) (Incumbent),Ernest Lineberger III (D),Dale Frey (D),Angela Brewer (D),3rd,4th,2nd,1st,5th
10/28/24 17:52,C200B,"Immigration, The Economy, Crime and Public Safety",1st,4th,2nd,3rd,"Donald J Trump for President, JD Vance for Vice President (R)",Ted Cruz (R) (Incumbent),Yes,Ronny L. Jackson (R) (Incumbent),Brandon Gill (R),Brent Hagenbuch (R),Andy Hopper (R),,,,,
10/28/24 18:14,A200,"Taxes, National Security, Healthcare",1st,4th,2nd,3rd,"Donald J Trump for President, JD Vance for Vice President (R)",Ted Cruz (R) (Incumbent),No,,,,,,,,,
10/28/24 18:21,C200A,"Crime and Public Safety, Education, Healthcare",1st,2nd,3rd,4th,"Donald J Trump for President, JD Vance for Vice President (R)",Ted Cruz (R) (Incumbent),No,,,,,1st,2nd,5th,3rd,4th
